customer_id,age,tenure_months,account_type,monthly_balance_eur,num_products,monthly_transaction_count,monthly_transaction_amount_eur,has_direct_debits,direct_debit_count,uses_digital_bank_secondary,was_kbc_ulster_customer,months_since_switching,experienced_switching_difficulty,branch_visits_monthly,customer_service_calls_6months,has_complaint_history,credit_score_band,has_mortgage,has_savings_goal,churn
IRLBANK_00001,47,172,Current + Savings,11744.09,2,190,6780.3,True,15,False,False,0,False,1,2,False,Medium,False,False,0
IRLBANK_00002,41,159,Savings Account,3579.88,1,19,776.43,False,0,False,False,0,False,0,3,False,High,False,True,0
IRLBANK_00003,48,147,Current Account,40780.86,1,151,5411.0,True,7,True,False,0,False,0,0,False,Medium,False,False,1
IRLBANK_00004,34,110,Current + Savings,8899.65,3,100,3620.37,True,13,True,False,0,False,1,0,False,Medium,False,False,0
IRLBANK_00005,60,126,Current + Savings,14457.9,3,64,2356.4,True,4,False,False,0,False,4,1,False,Low,False,False,0
IRLBANK_00006,31,19,Current + Savings,10587.62,2,156,5586.55,True,10,False,False,0,False,1,1,False,Medium,False,False,0
IRLBANK_00007,54,56,Savings Account,7215.91,2,6,319.99,False,0,True,False,0,False,1,1,False,Medium,False,True,0
IRLBANK_00008,36,164,Current Account,10079.24,1,112,4041.69,False,0,False,False,0,False,0,2,False,Medium,False,True,0
IRLBANK_00009,38,45,Current + Savings,7280.16,2,195,6955.85,True,6,False,False,0,False,0,2,False,Medium,False,False,0
IRLBANK_00010,50,57,Current Account,420.45,1,68,2496.84,False,0,True,False,0,False,1,2,False,Medium,False,True,1
IRLBANK_00011,58,167,Current Account,3391.35,1,183,6534.53,True,8,False,False,0,False,2,0,False,Medium,False,False,0
IRLBANK_00012,29,89,Current + Savings,3043.26,2,141,5059.89,True,11,False,False,0,False,2,1,False,Medium,False,True,0
IRLBANK_00013,46,62,Savings Account,10013.36,1,7,355.11,False,0,True,False,0,False,1,1,False,Medium,False,False,1
IRLBANK_00014,43,172,Current + Savings,6867.44,2,70,2567.06,False,0,False,False,0,False,0,1,False,Medium,False,False,0
IRLBANK_00015,32,53,Current + Savings,7542.9,3,83,3023.49,True,12,True,False,0,False,2,3,False,High,False,False,0
IRLBANK_00016,47,24,Savings Account,15017.58,1,14,600.88,False,0,True,False,0,False,3,1,False,Medium,False,True,1
IRLBANK_00017,32,158,Current Account,5960.7,1,199,7096.3,True,8,True,False,0,False,0,0,False,Medium,False,False,0
IRLBANK_00018,43,28,Current Account,1970.04,1,50,1864.85,True,12,False,False,0,False,1,2,False,Medium,False,False,0
IRLBANK_00019,36,178,Current Account,100.14,2,32,1232.86,True,6,True,False,0,False,2,4,True,Medium,False,True,0
IRLBANK_00020,39,148,Current + Mortgage,1390.04,5,127,4568.35,False,0,False,False,0,False,2,2,False,Medium,True,False,0
IRLBANK_00021,39,168,Current + Savings,248.45,2,53,1970.18,True,14,True,False,0,False,1,2,False,Medium,False,False,0
IRLBANK_00022,50,164,Current + Savings,2164.66,3,189,6745.19,True,9,True,True,17,True,1,2,False,High,False,False,0
IRLBANK_00023,32,107,Current Account,8062.8,1,166,5937.65,True,6,False,False,0,False,0,2,False,High,False,True,0
IRLBANK_00024,45,29,Current Account,1313.52,1,54,2005.29,True,9,True,False,0,False,1,1,False,High,False,False,1
IRLBANK_00025,37,16,Current + Savings,683.79,2,138,4954.56,True,6,True,False,0,False,0,1,False,Medium,False,False,0
IRLBANK_00026,38,13,Current + Mortgage,28283.66,4,119,4287.47,True,9,False,False,0,False,2,1,False,Medium,True,False,0
IRLBANK_00027,46,109,Current Account,46223.8,1,187,6674.97,True,8,False,True,12,True,1,1,False,High,False,False,1
IRLBANK_00028,36,79,Current + Mortgage,8107.34,5,151,5411.0,True,7,False,False,0,False,4,2,False,Low,True,True,0
IRLBANK_00029,38,160,Savings Account,919.39,2,15,635.99,False,0,False,False,0,False,1,0,False,High,False,False,0
IRLBANK_00030,42,30,Current Account,13786.26,1,127,4568.35,True,8,True,False,0,False,0,1,False,Medium,False,False,1
IRLBANK_00031,32,124,Current Account,6198.57,1,75,2742.61,True,15,False,False,0,False,0,1,True,Medium,False,False,1
IRLBANK_00032,37,56,Current + Savings,1607.86,2,35,1338.2,True,4,True,False,0,False,0,2,False,Medium,False,False,0
IRLBANK_00033,44,49,Current + Savings,6858.37,3,114,4111.91,True,7,True,False,0,False,1,2,False,High,False,False,0
IRLBANK_00034,26,125,Current + Savings,321.43,3,149,5340.78,True,2,False,False,0,False,3,1,False,High,False,True,0
IRLBANK_00035,29,1,Current Account,28740.15,1,91,3304.38,True,3,True,False,0,False,0,3,False,Medium,False,True,1
IRLBANK_00036,38,61,Current + Savings,13988.01,3,137,4919.45,True,3,True,False,0,False,0,2,False,Medium,False,False,0
IRLBANK_00037,45,78,Current Account,2417.24,1,74,2707.5,True,5,False,False,0,False,1,2,False,Medium,False,False,0
IRLBANK_00038,62,170,Current Account,4342.82,2,176,6288.76,True,4,True,False,0,False,4,4,False,Low,False,True,0
IRLBANK_00039,37,39,Current Account,4023.97,1,23,916.87,True,1,True,False,0,False,1,0,False,Medium,False,False,1
IRLBANK_00040,28,12,Current + Savings,15814.74,2,187,6674.97,True,11,False,False,0,False,3,3,False,Medium,False,False,0
IRLBANK_00041,27,111,Current + Savings,3503.51,2,21,846.65,True,7,True,False,0,False,0,1,False,Low,False,True,0
IRLBANK_00042,37,94,Current Account,393.36,1,158,5656.77,True,10,False,False,0,False,2,0,False,Medium,False,False,0
IRLBANK_00043,58,90,Savings Account,1933.4,1,13,565.77,False,0,False,False,0,False,0,1,False,Medium,False,False,1
IRLBANK_00044,27,100,Current + Savings,1942.38,2,48,1794.63,True,2,True,False,0,False,1,0,False,Medium,False,False,0
IRLBANK_00045,38,45,Current Account,23845.34,1,30,1162.64,False,0,False,False,0,False,1,1,False,Low,False,False,1
IRLBANK_00046,44,81,Current + Mortgage,20621.94,3,107,3866.14,True,8,True,True,36,False,0,2,False,High,True,True,0
IRLBANK_00047,34,165,Current + Mortgage,2860.18,3,102,3690.59,True,4,True,False,0,False,1,1,True,Medium,True,False,0
IRLBANK_00048,50,171,Current + Savings,22.17,2,199,7096.3,False,0,False,False,0,False,0,1,False,Medium,False,False,0
IRLBANK_00049,52,131,Current + Savings,5821.87,3,103,3725.7,True,14,True,False,0,False,0,1,False,Medium,False,False,0
IRLBANK_00050,29,88,Current + Savings,12765.86,3,192,6850.52,False,0,True,False,0,False,0,0,False,Medium,False,False,0
IRLBANK_00051,46,127,Current Account,2502.41,1,111,4006.58,True,10,False,False,0,False,0,1,False,Medium,False,False,0
IRLBANK_00052,45,132,Savings Account,4624.9,1,18,741.32,False,0,False,False,0,False,2,1,False,Medium,False,False,0
IRLBANK_00053,38,145,Current Account,1517.57,2,50,1864.85,True,5,False,False,0,False,0,3,False,Medium,False,False,0
IRLBANK_00054,33,32,Current + Mortgage,3172.78,4,140,5024.78,True,4,False,False,0,False,1,0,False,Medium,True,False,0
IRLBANK_00055,53,35,Current + Savings,11378.79,2,74,2707.5,True,4,False,False,0,False,2,3,False,High,False,False,0
IRLBANK_00056,30,21,Current Account,4472.87,2,74,2707.5,True,6,True,False,0,False,3,1,False,Medium,False,False,0
